15	10	E	-7012958.550097334	200
emissionprobs	5	2	H3k04me2AlnRep1	0	0.9992261409519464
emissionprobs	5	2	H3k04me2AlnRep1	1	7.738590480536655E-4
emissionprobs	5	3	H3k04me3AlnRep1	0	0.9985325951748
emissionprobs	5	3	H3k04me3AlnRep1	1	0.0014674048251999859
emissionprobs	5	4	H3k09acAlnRep1	0	0.9950969049441895
emissionprobs	5	4	H3k09acAlnRep1	1	0.004903095055810633
emissionprobs	5	5	H3k09me3AlnRep1	0	0.9942054903724682
emissionprobs	5	5	H3k09me3AlnRep1	1	0.005794509627531768
emissionprobs	5	6	H3k27acAlnRep1	0	0.996092809210804
emissionprobs	5	6	H3k27acAlnRep1	1	0.0039071907891959304
emissionprobs	5	7	H3k27me3AlnRep1	0	0.9992269527847099
emissionprobs	5	7	H3k27me3AlnRep1	1	7.73047215290124E-4
emissionprobs	5	8	H3k36me3AlnRep1	0	0.9277543140944405
emissionprobs	5	8	H3k36me3AlnRep1	1	0.07224568590555935
emissionprobs	5	9	H3k79me2AlnRep1	0	0.25342177832644197
emissionprobs	5	9	H3k79me2AlnRep1	1	0.746578221673558
emissionprobs	6	0	H2azAlnRep1	0	0.9937057201568047
emissionprobs	6	0	H2azAlnRep1	1	0.006294279843195323
emissionprobs	6	1	H3k04me1AlnRep1	0	0.5993982368711713
emissionprobs	6	1	H3k04me1AlnRep1	1	0.4006017631288286
emissionprobs	6	2	H3k04me2AlnRep1	0	0.6186520476667573
emissionprobs	6	2	H3k04me2AlnRep1	1	0.3813479523332426
emissionprobs	6	3	H3k04me3AlnRep1	0	0.9658705621713853
emissionprobs	6	3	H3k04me3AlnRep1	1	0.03412943782861464
emissionprobs	6	4	H3k09acAlnRep1	0	0.8867769573678327
emissionprobs	6	4	H3k09acAlnRep1	1	0.1132230426321673
emissionprobs	6	5	H3k09me3AlnRep1	0	0.9971031160617886
emissionprobs	6	5	H3k09me3AlnRep1	1	0.0028968839382113956
emissionprobs	6	6	H3k27acAlnRep1	0	0.7982377289849275
emissionprobs	6	6	H3k27acAlnRep1	1	0.2017622710150725
emissionprobs	6	7	H3k27me3AlnRep1	0	0.9983103988613841
emissionprobs	6	7	H3k27me3AlnRep1	1	0.0016896011386159154
emissionprobs	6	8	H3k36me3AlnRep1	0	0.9013019777950847
emissionprobs	6	8	H3k36me3AlnRep1	1	0.09869802220491539
emissionprobs	6	9	H3k79me2AlnRep1	0	0.13928705578175749
emissionprobs	6	9	H3k79me2AlnRep1	1	0.8607129442182424
emissionprobs	7	0	H2azAlnRep1	0	0.9748136517898875
emissionprobs	7	0	H2azAlnRep1	1	0.025186348210112477
emissionprobs	7	1	H3k04me1AlnRep1	0	0.18052550478205412
emissionprobs	7	1	H3k04me1AlnRep1	1	0.8194744952179459
emissionprobs	7	2	H3k04me2AlnRep1	0	0.045421992344181074
emissionprobs	7	2	H3k04me2AlnRep1	1	0.9545780076558189
emissionprobs	7	3	H3k04me3AlnRep1	0	0.5531570019968175
emissionprobs	7	3	H3k04me3AlnRep1	1	0.44684299800318256
emissionprobs	7	4	H3k09acAlnRep1	0	0.1981802819835035
emissionprobs	7	4	H3k09acAlnRep1	1	0.8018197180164965
emissionprobs	7	5	H3k09me3AlnRep1	0	0.9977651512198734
emissionprobs	7	5	H3k09me3AlnRep1	1	0.0022348487801265807
emissionprobs	7	6	H3k27acAlnRep1	0	0.44829453294481447
emissionprobs	7	6	H3k27acAlnRep1	1	0.5517054670551855
emissionprobs	7	7	H3k27me3AlnRep1	0	0.9983085620743907
emissionprobs	7	7	H3k27me3AlnRep1	1	0.0016914379256092694
emissionprobs	7	8	H3k36me3AlnRep1	0	0.9068436452929264
emissionprobs	7	8	H3k36me3AlnRep1	1	0.0931563547070736
emissionprobs	7	9	H3k79me2AlnRep1	0	0.0691201072065213
emissionprobs	7	9	H3k79me2AlnRep1	1	0.9308798927934787
emissionprobs	8	0	H2azAlnRep1	0	0.6088668935972963
emissionprobs	8	0	H2azAlnRep1	1	0.3911331064027036
emissionprobs	8	1	H3k04me1AlnRep1	0	0.8120764972471731
emissionprobs	8	1	H3k04me1AlnRep1	1	0.18792350275282688
emissionprobs	8	2	H3k04me2AlnRep1	0	0.0011790092676904494
emissionprobs	8	2	H3k04me2AlnRep1	1	0.9988209907323096
emissionprobs	8	3	H3k04me3AlnRep1	0	0.0024331503596477827
emissionprobs	8	3	H3k04me3AlnRep1	1	0.9975668496403522
emissionprobs	8	4	H3k09acAlnRep1	0	0.003039802993353838
emissionprobs	8	4	H3k09acAlnRep1	1	0.9969601970066462
emissionprobs	8	5	H3k09me3AlnRep1	0	0.9987701354508072
emissionprobs	8	5	H3k09me3AlnRep1	1	0.0012298645491927594
emissionprobs	8	6	H3k27acAlnRep1	0	0.37883010692698194
emissionprobs	8	6	H3k27acAlnRep1	1	0.621169893073018
emissionprobs	8	7	H3k27me3AlnRep1	0	0.9954907500768221
emissionprobs	8	7	H3k27me3AlnRep1	1	0.00450924992317797
emissionprobs	8	8	H3k36me3AlnRep1	0	0.9840223986934157
emissionprobs	8	8	H3k36me3AlnRep1	1	0.015977601306584304
emissionprobs	8	9	H3k79me2AlnRep1	0	0.04823437083641304
emissionprobs	8	9	H3k79me2AlnRep1	1	0.951765629163587
emissionprobs	9	0	H2azAlnRep1	0	0.23726548996672767
emissionprobs	9	0	H2azAlnRep1	1	0.7627345100332724
emissionprobs	9	1	H3k04me1AlnRep1	0	0.8247047850036311
emissionprobs	9	1	H3k04me1AlnRep1	1	0.17529521499636885
emissionprobs	9	2	H3k04me2AlnRep1	0	0.011979347630286871
emissionprobs	9	2	H3k04me2AlnRep1	1	0.988020652369713
emissionprobs	9	3	H3k04me3AlnRep1	0	0.04523749425088477
emissionprobs	9	3	H3k04me3AlnRep1	1	0.9547625057491153
emissionprobs	9	4	H3k09acAlnRep1	0	0.07096459391511739
emissionprobs	9	4	H3k09acAlnRep1	1	0.9290354060848827
emissionprobs	9	5	H3k09me3AlnRep1	0	0.9985818178180293
emissionprobs	9	5	H3k09me3AlnRep1	1	0.001418182181970677
emissionprobs	9	6	H3k27acAlnRep1	0	0.6219526038090201
emissionprobs	9	6	H3k27acAlnRep1	1	0.3780473961909799
emissionprobs	9	7	H3k27me3AlnRep1	0	0.9922129191363718
emissionprobs	9	7	H3k27me3AlnRep1	1	0.007787080863628262
emissionprobs	9	8	H3k36me3AlnRep1	0	0.9999814099151217
emissionprobs	9	8	H3k36me3AlnRep1	1	1.8590084878211352E-5
emissionprobs	9	9	H3k79me2AlnRep1	0	0.9635623903030205
emissionprobs	9	9	H3k79me2AlnRep1	1	0.03643760969697952
emissionprobs	10	0	H2azAlnRep1	0	0.6795610018992747
emissionprobs	10	0	H2azAlnRep1	1	0.32043899810072524
emissionprobs	10	1	H3k04me1AlnRep1	0	0.8715908782755067
emissionprobs	10	1	H3k04me1AlnRep1	1	0.12840912172449317
